energy,contrast,correlation,entropy,filename,class,set_type
0.006613339111659784,408.70865898550295,0.7273969192202049,8.457718342298326,D1_1.png,D1,train
0.005103203502408061,454.3056850994818,0.7329939166090812,8.761881053412607,D1_10.png,D1,train
0.004939054282649207,370.80569708971166,0.7745243911254821,9.040460610334891,D1_2.png,D1,train
0.005279265253004383,348.96213998407893,0.7934781531707954,8.920181470589252,D1_3.png,D1,train
0.004590058777362598,401.0625131645307,0.7482826275270844,9.016468979430709,D1_4.png,D1,train
0.006716556331681589,377.94889442664453,0.7579445539950487,8.816869300012344,D1_5.png,D1,train
0.005096858656358625,439.4865608683399,0.7119746675295393,8.784573671230465,D1_6.png,D1,train
0.005110800900254953,372.11632377081605,0.7803971193383566,8.928747825127859,D1_7.png,D1,train
0.0063748776297677815,417.3935043238994,0.7212327356296123,8.525222947813337,D1_8.png,D1,train
0.006194576734457987,406.05311498754,0.7132415358999803,8.54665447968069,D1_9.png,D1,train
0.0046389985961104024,1383.7316061221863,0.4505328274907875,8.899879382534634,D1_1.png,D1,test
0.004818701959919038,1098.2363800260077,0.5392131470573662,9.046520529431916,D1_2.png,D1,test
0.006430646669038403,1294.856023483545,0.4763695100726887,8.570698905948923,D1_3.png,D1,test
0.005166277083062643,1110.5336618903525,0.5132301746500663,9.111626840365805,D1_4.png,D1,test
0.004950867319218929,1072.7462944009335,0.5205765067639887,9.018840542264428,D1_5.png,D1,test
0.004673196189182556,1260.1069226271707,0.49965461331229705,8.880082811188828,D1_6.png,D1,test
0.0012632831081050497,320.80549195789325,0.8076138199359459,10.40826713202171,D2_1.png,D2,train
0.0014958556531661572,328.9357103654919,0.8363761050478691,10.497715052597759,D2_10.png,D2,train
0.0013151689096279275,351.6328869135913,0.805953620566447,10.552706221774711,D2_2.png,D2,train
0.001142599444314015,347.4459282662869,0.7928017247953216,10.582257539106863,D2_3.png,D2,train
0.0009928103233757526,349.9523633731854,0.8007003709954914,10.658561640170106,D2_4.png,D2,train
0.006439823365630929,246.36109615422652,0.8077068721552779,9.003765816245181,D2_5.png,D2,train
0.0026057757863330007,318.89840752442547,0.7874267554563328,10.025613613819324,D2_6.png,D2,train
0.0010719058055774658,301.55706298702586,0.8394497084328981,10.629637097032163,D2_7.png,D2,train
0.0012844657601100615,346.3912953403742,0.7966578359390027,10.476502330807744,D2_8.png,D2,train
0.0016879137113943016,293.88059875746603,0.8477214643175595,10.301393037765747,D2_9.png,D2,train
0.0011396339184613518,1000.7262580470511,0.5707891506437084,10.664207910052212,D2_1.png,D2,test
0.009603261789793743,787.2911482437403,0.5691991585099393,8.70472431084896,D2_2.png,D2,test
0.001973717757851396,933.7276404463828,0.588180641057112,10.326837649557437,D2_3.png,D2,test
0.007910518130519309,847.8124339919307,0.5647057468952918,9.06308611647531,D2_4.png,D2,test
0.0009006346023744808,979.5579380883865,0.5426885062273633,10.781093449463036,D2_5.png,D2,test
0.001434392771261855,895.3098038052293,0.5959897086963144,10.497716067896299,D2_6.png,D2,test
0.015214070896939698,731.8578224506546,0.6139538737568251,9.375777524445438,D3_1.png,D3,train
0.011764408709058639,701.8477946629881,0.6001094579692198,9.136107124363305,D3_10.png,D3,train
0.01091030916531355,752.5275311745975,0.6195093150670223,9.54459148029159,D3_2.png,D3,train
0.0042969590587091915,762.8550909650528,0.6326882414104433,10.325464165159191,D3_3.png,D3,train
0.02266415868075537,658.9310448681816,0.5961821115450909,8.293822930966439,D3_4.png,D3,train
0.009309844941162673,769.2287405808711,0.5964299283868351,9.748608516023847,D3_5.png,D3,train
0.022836613265504367,598.9191364685931,0.634252357994082,8.720200745781767,D3_6.png,D3,train
0.014716858270311243,670.2233371281793,0.6069539211153313,9.320136565100029,D3_7.png,D3,train
0.011477850586775497,698.5016364191488,0.6057938310846067,9.504154639387448,D3_8.png,D3,train
0.015047494534029572,717.7323607650014,0.6194341518182991,9.158284037835319,D3_9.png,D3,train
0.004253329638211995,1462.404365494344,0.4783664717805963,10.361679985079295,D3_1.png,D3,test
0.0147359722765398,1380.495068801669,0.4350043907394221,8.923450221623108,D3_2.png,D3,test
0.022193698830825143,1399.0466268516873,0.4507838881945102,8.610154682527085,D3_3.png,D3,test
0.008178069756633932,1359.0899770949527,0.46664604393342946,9.825527450338509,D3_4.png,D3,test
0.0109461390874965,1262.4547115422652,0.4863304660243453,9.581152437905773,D3_5.png,D3,test
0.009738059691421769,1329.973548564139,0.48855401760954575,9.745282741438652,D3_6.png,D3,test
0.0007226365493593339,1006.6056541350224,0.6533185733979371,11.33024392886759,D4_1.png,D4,train
0.000591282839849036,960.2247202073693,0.6260064122424346,11.364709300514015,D4_10.png,D4,train
0.000577330620981524,959.5061179220561,0.6260778851888404,11.359952045030727,D4_2.png,D4,train
0.000581334252321086,1026.0417420073377,0.6091377304226517,11.391174004376115,D4_3.png,D4,train
0.0005720620623894714,911.6225251300384,0.6070279371542509,11.32268750949642,D4_4.png,D4,train
0.0005668319938043282,990.0101706815394,0.6670515011430401,11.42435585563141,D4_5.png,D4,train
0.0005537322151664513,1104.872751770104,0.5844404187589333,11.409944425232759,D4_6.png,D4,train
0.000596949004859903,1062.9366239097544,0.6690900708971463,11.405370071932277,D4_7.png,D4,train
0.0005674620510793615,937.5048200723863,0.5950150652044062,11.348371342526383,D4_8.png,D4,train
0.0006518952886193711,1007.9328346881057,0.6636879054236553,11.38784311656747,D4_9.png,D4,train
0.0006523862799779601,1567.1824804818837,0.5196917008694609,11.382354163434375,D4_1.png,D4,test
0.0005336487272433758,1665.750225465765,0.5192372971925976,11.51120854886225,D4_2.png,D4,test
0.0006582292770571424,1680.9820519238756,0.5851662500506667,11.453564739081575,D4_3.png,D4,test
0.0005222379368605529,1597.3715932295993,0.4269005235504799,11.395622095497107,D4_4.png,D4,test
0.0006282961050428855,1600.7182690310906,0.550123600422593,11.443005742662002,D4_5.png,D4,test
0.0006107210791979645,1578.9819076084805,0.5883604578543471,11.476531940023612,D4_6.png,D4,test
0.0018041282601645202,432.6658118992524,0.8613020873724376,10.17156170958604,D5_1.png,D5,train
0.0019407108907937205,493.16581857422574,0.886144948869117,10.441819357650704,D5_10.png,D5,train
0.0010438087548664044,589.960719203651,0.8618852891381854,10.78348778783563,D5_2.png,D5,train
0.0014431907257634524,459.739432713797,0.8713094034860938,10.439610413185509,D5_3.png,D5,train
0.0016258892693090327,545.1062354757526,0.8822583232980108,10.514509707814133,D5_4.png,D5,train
0.001902648250288675,470.07527367390526,0.8722866645142158,10.253043321046993,D5_5.png,D5,train
0.0012719166344745136,569.281819288695,0.8601784036991185,10.67868522397034,D5_6.png,D5,train
0.0017234838643212513,562.8100463910644,0.8475855187845559,10.41597900438395,D5_7.png,D5,train
0.0010277406808900458,596.7609022709743,0.8476052660036566,10.77063657076619,D5_8.png,D5,train
0.001417675668542131,534.1292635773901,0.863412819317545,10.527642890951064,D5_9.png,D5,train
0.0016447162809650378,1312.2037128302877,0.7043680715471367,10.513777995869669,D5_1.png,D5,test
0.0017215382468259407,1329.1168564089633,0.6887605513298936,10.474378595981175,D5_2.png,D5,test
0.0014317185018551466,1280.2693773238798,0.7438896977850893,10.779107273899914,D5_3.png,D5,test
0.0011510378901767723,1306.8457642968037,0.7446159289299857,10.912180738485484,D5_4.png,D5,test
0.002059901003064642,1180.4715295083265,0.7097954442756944,10.263008426482703,D5_5.png,D5,test
0.0015096477980025087,1341.6550509770184,0.7471203781691608,10.751434337910574,D5_6.png,D5,test
0.01665828096275163,962.6515608312566,0.4599360044454541,8.90554081936595,D6_1.png,D6,train
0.007295309592303616,1000.5184067951229,0.4861026928299333,9.169481004570184,D6_10.png,D6,train
0.01157284525296883,930.4318827009415,0.4807848663700015,9.007739204190576,D6_2.png,D6,train
0.006554157377484798,889.6394141722044,0.4650868951846684,9.096010830152697,D6_3.png,D6,train
0.005778100983266633,1192.5080458768443,0.4951600473459122,9.400931090112268,D6_4.png,D6,train
0.006700030081240815,1033.7978388537836,0.4782647425139069,9.164630578344202,D6_5.png,D6,train
0.006884604460785761,1107.202574561924,0.49537715928884507,9.278688958778318,D6_6.png,D6,train
0.021928206380169908,974.8717909447806,0.4726828788642242,8.63354455159435,D6_7.png,D6,train
0.02797212711694181,962.2803994971521,0.48786517691675085,8.446398679183671,D6_8.png,D6,train
0.011436854953281388,912.0972030007713,0.4698023157885515,8.95410474074393,D6_9.png,D6,train
0.004808654593574611,1878.2699688624857,0.3925173972285523,9.660873630367558,D6_1.png,D6,test
0.019956525779957674,1643.6592315498795,0.35040538168740637,8.686733986474326,D6_2.png,D6,test
0.004311349371869227,1791.403199969839,0.38911641217130954,9.609511357320212,D6_3.png,D6,test
0.01330481091808779,1759.172730261857,0.37476209060042676,8.988607495333074,D6_4.png,D6,test
0.0037527957513633346,1926.1526338950202,0.38982771550384676,9.860466872136975,D6_5.png,D6,test
0.0071640776036309695,1576.710661662909,0.3376836487619935,9.374197263535477,D6_6.png,D6,test
